date,date,payems,peak
1929-07-01,1929-07-01,31294,0
1930-07-01,1930-07-01,29577,0
1931-07-01,1931-07-01,27027,0
1932-07-01,1932-07-01,24216,0
1933-07-01,1933-07-01,24132,0
1934-07-01,1934-07-01,26084,0
1935-07-01,1935-07-01,27061,0
1936-07-01,1936-07-01,28963,0
1937-07-01,1937-07-01,30705,0
1938-07-01,1938-07-01,29064,0
1939-01-01,1939-01-01,29923,0
1939-02-01,1939-02-01,30101,0
1939-03-01,1939-03-01,30280,0
1939-04-01,1939-04-01,30094,0
1939-05-01,1939-05-01,30300,0
1939-06-01,1939-06-01,30502,0
1939-07-01,1939-07-01,30419,0
1939-08-01,1939-08-01,30663,0
1939-09-01,1939-09-01,31032,0
1939-10-01,1939-10-01,31408,0
1939-11-01,1939-11-01,31469,0
1939-12-01,1939-12-01,31539,0
1940-01-01,1940-01-01,31603,0
1940-02-01,1940-02-01,31715,0
1940-03-01,1940-03-01,31826,0
1940-04-01,1940-04-01,31700,0
1940-05-01,1940-05-01,31880,0
1940-06-01,1940-06-01,31978,0
1940-07-01,1940-07-01,31942,0
1940-08-01,1940-08-01,32352,0
1940-09-01,1940-09-01,32810,0
1940-10-01,1940-10-01,33265,0
1940-11-01,1940-11-01,33668,0
1940-12-01,1940-12-01,34172,0
1941-01-01,1941-01-01,34480,0
1941-02-01,1941-02-01,34844,0
1941-03-01,1941-03-01,35094,0
1941-04-01,1941-04-01,35469,0
1941-05-01,1941-05-01,36182,0
1941-06-01,1941-06-01,36651,0
1941-07-01,1941-07-01,37137,0
1941-08-01,1941-08-01,37544,0
1941-09-01,1941-09-01,37835,0
1941-10-01,1941-10-01,37948,0
1941-11-01,1941-11-01,38024,0
1941-12-01,1941-12-01,38104,0
1942-01-01,1942-01-01,38347,0
1942-02-01,1942-02-01,38513,0
1942-03-01,1942-03-01,38936,0
1942-04-01,1942-04-01,39352,0
1942-05-01,1942-05-01,39772,0
1942-06-01,1942-06-01,40028,0
1942-07-01,1942-07-01,40471,0
1942-08-01,1942-08-01,40988,0
1942-09-01,1942-09-01,41255,0
1942-10-01,1942-10-01,41515,0
1942-11-01,1942-11-01,41673,0
1942-12-01,1942-12-01,41915,0
