"U.S. nonfarm total employment (thousands, 000s)",,,
1/1/1939 to 10/1/2016 come from Federal Reserve Economic Data (FRED) PAYEMS series,,,
7/1/1929 to 7/1/1938 come from https://www2.census.gov/library/publications/1960/compendia/hist_stats_colonial-1957/hist_stats_colonial-1957-chD.pdf.,,,
I had to adjust the numbers to remove the armed service memebers. I used the percent changes and made the series match up with the FRED 7/1/1939 number,,,
,,,
date,payems,peak,yearonly
7/1/29,31294,1,1
7/1/30,29577,0,1
7/1/31,27027,0,1
7/1/32,24216,0,1
7/1/33,24132,0,1
7/1/34,26084,0,1
7/1/35,27061,0,1
7/1/36,28963,0,1
7/1/37,30705,1,1
7/1/38,29064,0,1
1/1/39,29923,0,0
2/1/39,30101,0,0
3/1/39,30280,0,0
4/1/39,30094,0,0
5/1/39,30300,0,0
6/1/39,30502,0,0
7/1/39,30419,0,0
8/1/39,30663,0,0
9/1/39,31032,0,0
10/1/39,31408,0,0
11/1/39,31469,0,0
12/1/39,31539,0,0
1/1/40,31603,0,0
2/1/40,31715,0,0
3/1/40,31826,0,0
4/1/40,31700,0,0
5/1/40,31880,0,0
6/1/40,31978,0,0
7/1/40,31942,0,0
8/1/40,32352,0,0
9/1/40,32810,0,0
10/1/40,33265,0,0
11/1/40,33668,0,0
12/1/40,34172,0,0
1/1/41,34480,0,0
2/1/41,34844,0,0
3/1/41,35094,0,0
4/1/41,35469,0,0
5/1/41,36182,0,0
6/1/41,36651,0,0
7/1/41,37137,0,0
8/1/41,37544,0,0
9/1/41,37835,0,0
10/1/41,37948,0,0
11/1/41,38024,0,0
12/1/41,38104,0,0
1/1/42,38347,0,0
2/1/42,38513,0,0
3/1/42,38936,0,0
4/1/42,39352,0,0
5/1/42,39772,0,0
6/1/42,40028,0,0
7/1/42,40471,0,0
8/1/42,40988,0,0
9/1/42,41255,0,0
10/1/42,41515,0,0
11/1/42,41673,0,0
12/1/42,41915,0,0
1/1/43,42172,0,0
2/1/43,42395,0,0
3/1/43,42553,0,0
4/1/43,42647,0,0
5/1/43,42596,0,0
6/1/43,42781,0,0
7/1/43,42701,0,0
8/1/43,42546,0,0
9/1/43,42485,0,0
10/1/43,42675,0,0
11/1/43,42820,0,0
12/1/43,42746,0,0
1/1/44,42655,0,0
2/1/44,42544,0,0
3/1/44,42292,0,0
4/1/44,42063,0,0
5/1/44,41985,0,0
6/1/44,41947,0,0
7/1/44,41905,0,0
8/1/44,41850,0,0
9/1/44,41672,0,0
10/1/44,41709,0,0
11/1/44,41712,0,0
12/1/44,41861,0,0
1/1/45,41897,0,0
2/1/45,41904,1,0
3/1/45,41796,0,0
4/1/45,41443,0,0
5/1/45,41304,0,0
6/1/45,41149,0,0
7/1/45,40873,0,0
8/1/45,40467,0,0
9/1/45,38500,0,0
10/1/45,38599,0,0
11/1/45,38997,0,0
12/1/45,39112,0,0
1/1/46,39832,0,0
2/1/46,39251,0,0
3/1/46,40193,0,0
4/1/46,40909,0,0
5/1/46,41349,0,0
6/1/46,41733,0,0
7/1/46,42153,0,0
8/1/46,42643,0,0
9/1/46,42909,0,0
10/1/46,43094,0,0
11/1/46,43397,0,0
12/1/46,43379,0,0
1/1/47,43539,0,0
2/1/47,43563,0,0
3/1/47,43606,0,0
4/1/47,43492,0,0
5/1/47,43638,0,0
6/1/47,43808,0,0
7/1/47,43743,0,0
8/1/47,43959,0,0
9/1/47,44201,0,0
10/1/47,44415,0,0
11/1/47,44487,0,0
12/1/47,44579,0,0
1/1/48,44682,0,0
2/1/48,44537,0,0
3/1/48,44681,0,0
4/1/48,44370,0,0
5/1/48,44795,0,0
6/1/48,45033,0,0
7/1/48,45160,0,0
8/1/48,45176,0,0
9/1/48,45295,0,0
10/1/48,45251,0,0
11/1/48,45194,1,0
12/1/48,45029,0,0
1/1/49,44671,0,0
2/1/49,44500,0,0
3/1/49,44238,0,0
4/1/49,44230,0,0
5/1/49,43982,0,0
6/1/49,43739,0,0
7/1/49,43529,0,0
8/1/49,43622,0,0
9/1/49,43784,0,0
10/1/49,42950,0,0
11/1/49,43245,0,0
12/1/49,43517,0,0
1/1/50,43528,0,0
2/1/50,43298,0,0
3/1/50,43952,0,0
4/1/50,44376,0,0
5/1/50,44718,0,0
6/1/50,45084,0,0
7/1/50,45454,0,0
8/1/50,46188,0,0
9/1/50,46442,0,0
10/1/50,46712,0,0
11/1/50,46778,0,0
12/1/50,46855,0,0
1/1/51,47288,0,0
2/1/51,47577,0,0
3/1/51,47871,0,0
4/1/51,47856,0,0
5/1/51,47953,0,0
6/1/51,48068,0,0
7/1/51,48062,0,0
8/1/51,48009,0,0
9/1/51,47955,0,0
10/1/51,48009,0,0
11/1/51,48148,0,0
12/1/51,48309,0,0
1/1/52,48298,0,0
2/1/52,48522,0,0
3/1/52,48504,0,0
4/1/52,48616,0,0
5/1/52,48645,0,0
6/1/52,48286,0,0
7/1/52,48144,0,0
8/1/52,48923,0,0
9/1/52,49319,0,0
10/1/52,49598,0,0
11/1/52,49816,0,0
12/1/52,50164,0,0
1/1/53,50145,0,0
2/1/53,50339,0,0
3/1/53,50475,0,0
4/1/53,50432,0,0
5/1/53,50491,0,0
6/1/53,50522,0,0
7/1/53,50536,1,0
8/1/53,50487,0,0
9/1/53,50365,0,0
10/1/53,50242,0,0
11/1/53,49907,0,0
12/1/53,49702,0,0
1/1/54,49468,0,0
2/1/54,49382,0,0
3/1/54,49158,0,0
4/1/54,49178,0,0
5/1/54,48965,0,0
6/1/54,48896,0,0
7/1/54,48835,0,0
8/1/54,48825,0,0
9/1/54,48882,0,0
10/1/54,48944,0,0
11/1/54,49178,0,0
12/1/54,49331,0,0
1/1/55,49497,0,0
2/1/55,49644,0,0
3/1/55,49963,0,0
4/1/55,50247,0,0
5/1/55,50512,0,0
6/1/55,50790,0,0
7/1/55,50985,0,0
8/1/55,51111,0,0
9/1/55,51262,0,0
10/1/55,51431,0,0
11/1/55,51592,0,0
12/1/55,51805,0,0
1/1/56,51975,0,0
2/1/56,52167,0,0
3/1/56,52295,0,0
4/1/56,52375,0,0
5/1/56,52506,0,0
6/1/56,52584,0,0
7/1/56,51954,0,0
8/1/56,52630,0,0
9/1/56,52601,0,0
10/1/56,52781,0,0
11/1/56,52822,0,0
12/1/56,52930,0,0
1/1/57,52888,0,0
2/1/57,53097,0,0
3/1/57,53157,0,0
4/1/57,53238,0,0
5/1/57,53149,0,0
6/1/57,53066,0,0
7/1/57,53123,0,0
8/1/57,53126,1,0
9/1/57,52932,0,0
10/1/57,52765,0,0
11/1/57,52559,0,0
12/1/57,52385,0,0
1/1/58,52077,0,0
2/1/58,51576,0,0
3/1/58,51300,0,0
4/1/58,51027,0,0
5/1/58,50913,0,0
6/1/58,50912,0,0
7/1/58,51037,0,0
8/1/58,51231,0,0
9/1/58,51506,0,0
10/1/58,51486,0,0
11/1/58,51944,0,0
12/1/58,52088,0,0
1/1/59,52480,0,0
2/1/59,52687,0,0
3/1/59,53016,0,0
4/1/59,53320,0,0
5/1/59,53549,0,0
6/1/59,53679,0,0
7/1/59,53803,0,0
8/1/59,53334,0,0
9/1/59,53429,0,0
10/1/59,53359,0,0
11/1/59,53635,0,0
12/1/59,54175,0,0
1/1/60,54274,0,0
2/1/60,54513,0,0
3/1/60,54458,0,0
4/1/60,54812,1,0
5/1/60,54473,0,0
6/1/60,54347,0,0
7/1/60,54304,0,0
8/1/60,54271,0,0
9/1/60,54228,0,0
10/1/60,54144,0,0
11/1/60,53962,0,0
12/1/60,53744,0,0
1/1/61,53683,0,0
2/1/61,53556,0,0
3/1/61,53662,0,0
4/1/61,53626,0,0
5/1/61,53785,0,0
6/1/61,53977,0,0
7/1/61,54123,0,0
8/1/61,54298,0,0
9/1/61,54388,0,0
10/1/61,54522,0,0
11/1/61,54743,0,0
12/1/61,54871,0,0
1/1/62,54891,0,0
2/1/62,55187,0,0
3/1/62,55276,0,0
4/1/62,55602,0,0
5/1/62,55627,0,0
6/1/62,55644,0,0
7/1/62,55746,0,0
8/1/62,55838,0,0
9/1/62,55977,0,0
10/1/62,56041,0,0
11/1/62,56056,0,0
12/1/62,56028,0,0
1/1/63,56116,0,0
2/1/63,56230,0,0
3/1/63,56322,0,0
4/1/63,56580,0,0
5/1/63,56616,0,0
6/1/63,56658,0,0
7/1/63,56794,0,0
8/1/63,56910,0,0
9/1/63,57077,0,0
10/1/63,57284,0,0
11/1/63,57255,0,0
12/1/63,57360,0,0
1/1/64,57487,0,0
2/1/64,57751,0,0
3/1/64,57898,0,0
4/1/64,57922,0,0
5/1/64,58089,0,0
6/1/64,58221,0,0
7/1/64,58413,0,0
8/1/64,58619,0,0
9/1/64,58903,0,0
10/1/64,58794,0,0
11/1/64,59217,0,0
12/1/64,59421,0,0
1/1/65,59583,0,0
2/1/65,59800,0,0
3/1/65,60003,0,0
4/1/65,60259,0,0
5/1/65,60492,0,0
6/1/65,60690,0,0
7/1/65,60963,0,0
8/1/65,61228,0,0
9/1/65,61490,0,0
10/1/65,61718,0,0
11/1/65,61997,0,0
12/1/65,62321,0,0
1/1/66,62528,0,0
2/1/66,62796,0,0
3/1/66,63192,0,0
4/1/66,63436,0,0
5/1/66,63711,0,0
6/1/66,64110,0,0
7/1/66,64301,0,0
8/1/66,64507,0,0
9/1/66,64644,0,0
10/1/66,64854,0,0
11/1/66,65019,0,0
12/1/66,65200,0,0
1/1/67,65407,0,0
2/1/67,65428,0,0
3/1/67,65530,0,0
4/1/67,65467,0,0
5/1/67,65619,0,0
6/1/67,65750,0,0
7/1/67,65887,0,0
8/1/67,66142,0,0
9/1/67,66164,0,0
10/1/67,66225,0,0
11/1/67,66703,0,0
12/1/67,66900,0,0
1/1/68,66805,0,0
2/1/68,67215,0,0
3/1/68,67295,0,0
4/1/68,67555,0,0
5/1/68,67653,0,0
6/1/68,67904,0,0
7/1/68,68125,0,0
8/1/68,68328,0,0
9/1/68,68487,0,0
10/1/68,68720,0,0
11/1/68,68985,0,0
12/1/68,69246,0,0
1/1/69,69438,0,0
2/1/69,69700,0,0
3/1/69,69905,0,0
4/1/69,70072,0,0
5/1/69,70328,0,0
6/1/69,70636,0,0
7/1/69,70729,0,0
8/1/69,71006,0,0
9/1/69,70917,0,0
10/1/69,71120,0,0
11/1/69,71087,0,0
12/1/69,71240,1,0
1/1/70,71176,0,0
2/1/70,71304,0,0
3/1/70,71452,0,0
4/1/70,71348,0,0
5/1/70,71123,0,0
6/1/70,71029,0,0
7/1/70,71053,0,0
8/1/70,70933,0,0
9/1/70,70948,0,0
10/1/70,70519,0,0
11/1/70,70409,0,0
12/1/70,70790,0,0
1/1/71,70866,0,0
2/1/71,70806,0,0
3/1/71,70859,0,0
4/1/71,71037,0,0
5/1/71,71247,0,0
6/1/71,71253,0,0
7/1/71,71315,0,0
8/1/71,71370,0,0
9/1/71,71617,0,0
10/1/71,71642,0,0
11/1/71,71846,0,0
12/1/71,72108,0,0
1/1/72,72445,0,0
2/1/72,72652,0,0
3/1/72,72945,0,0
4/1/72,73163,0,0
5/1/72,73467,0,0
6/1/72,73760,0,0
7/1/72,73708,0,0
8/1/72,74138,0,0
9/1/72,74263,0,0
10/1/72,74673,0,0
11/1/72,74967,0,0
12/1/72,75270,0,0
1/1/73,75621,0,0
2/1/73,76017,0,0
3/1/73,76285,0,0
4/1/73,76455,0,0
5/1/73,76646,0,0
6/1/73,76887,0,0
7/1/73,76911,0,0
8/1/73,77166,0,0
9/1/73,77276,0,0
10/1/73,77606,0,0
11/1/73,77912,1,0
12/1/73,78035,0,0
1/1/74,78104,0,0
2/1/74,78254,0,0
3/1/74,78296,0,0
4/1/74,78382,0,0
5/1/74,78547,0,0
6/1/74,78602,0,0
7/1/74,78635,0,0
8/1/74,78619,0,0
9/1/74,78611,0,0
10/1/74,78629,0,0
11/1/74,78261,0,0
12/1/74,77657,0,0
1/1/75,77297,0,0
2/1/75,76919,0,0
3/1/75,76649,0,0
4/1/75,76461,0,0
5/1/75,76623,0,0
6/1/75,76520,0,0
7/1/75,76769,0,0
8/1/75,77155,0,0
9/1/75,77230,0,0
10/1/75,77535,0,0
11/1/75,77680,0,0
12/1/75,78018,0,0
1/1/76,78506,0,0
2/1/76,78817,0,0
3/1/76,79049,0,0
4/1/76,79292,0,0
5/1/76,79311,0,0
6/1/76,79376,0,0
7/1/76,79547,0,0
8/1/76,79704,0,0
9/1/76,79892,0,0
10/1/76,79905,0,0
11/1/76,80237,0,0
12/1/76,80448,0,0
1/1/77,80692,0,0
2/1/77,80988,0,0
3/1/77,81391,0,0
4/1/77,81729,0,0
5/1/77,82089,0,0
6/1/77,82488,0,0
7/1/77,82836,0,0
8/1/77,83074,0,0
9/1/77,83532,0,0
10/1/77,83794,0,0
11/1/77,84173,0,0
12/1/77,84408,0,0
1/1/78,84595,0,0
2/1/78,84948,0,0
3/1/78,85461,0,0
4/1/78,86163,0,0
5/1/78,86509,0,0
6/1/78,86951,0,0
7/1/78,87205,0,0
8/1/78,87481,0,0
9/1/78,87618,0,0
10/1/78,87954,0,0
11/1/78,88391,0,0
12/1/78,88673,0,0
1/1/79,88810,0,0
2/1/79,89054,0,0
3/1/79,89480,0,0
4/1/79,89418,0,0
5/1/79,89791,0,0
6/1/79,90109,0,0
7/1/79,90215,0,0
8/1/79,90297,0,0
9/1/79,90325,0,0
10/1/79,90482,0,0
11/1/79,90576,0,0
12/1/79,90673,0,0
1/1/80,90802,1,0
2/1/80,90882,0,0
3/1/80,90994,0,0
4/1/80,90850,0,0
5/1/80,90419,0,0
6/1/80,90099,0,0
7/1/80,89837,0,0
8/1/80,90097,0,0
9/1/80,90210,0,0
10/1/80,90491,0,0
11/1/80,90748,0,0
12/1/80,90943,0,0
1/1/81,91037,0,0
2/1/81,91105,0,0
3/1/81,91210,0,0
4/1/81,91283,0,0
5/1/81,91293,0,0
6/1/81,91490,0,0
7/1/81,91602,1,0
8/1/81,91566,0,0
9/1/81,91479,0,0
10/1/81,91380,0,0
11/1/81,91171,0,0
12/1/81,90893,0,0
1/1/82,90567,0,0
2/1/82,90562,0,0
3/1/82,90432,0,0
4/1/82,90152,0,0
5/1/82,90107,0,0
6/1/82,89864,0,0
7/1/82,89522,0,0
8/1/82,89364,0,0
9/1/82,89183,0,0
10/1/82,88906,0,0
11/1/82,88783,0,0
12/1/82,88769,0,0
1/1/83,88993,0,0
2/1/83,88918,0,0
3/1/83,89090,0,0
4/1/83,89366,0,0
5/1/83,89643,0,0
6/1/83,90022,0,0
7/1/83,90440,0,0
8/1/83,90132,0,0
9/1/83,91247,0,0
10/1/83,91518,0,0
11/1/83,91871,0,0
12/1/83,92227,0,0
1/1/84,92673,0,0
2/1/84,93154,0,0
3/1/84,93429,0,0
4/1/84,93792,0,0
5/1/84,94100,0,0
6/1/84,94479,0,0
7/1/84,94792,0,0
8/1/84,95034,0,0
9/1/84,95344,0,0
10/1/84,95630,0,0
11/1/84,95979,0,0
12/1/84,96107,0,0
1/1/85,96373,0,0
2/1/85,96497,0,0
3/1/85,96843,0,0
4/1/85,97039,0,0
5/1/85,97313,0,0
6/1/85,97459,0,0
7/1/85,97649,0,0
8/1/85,97842,0,0
9/1/85,98045,0,0
10/1/85,98233,0,0
11/1/85,98442,0,0
12/1/85,98609,0,0
1/1/86,98734,0,0
2/1/86,98841,0,0
3/1/86,98935,0,0
4/1/86,99122,0,0
5/1/86,99249,0,0
6/1/86,99155,0,0
7/1/86,99473,0,0
8/1/86,99587,0,0
9/1/86,99934,0,0
10/1/86,100120,0,0
11/1/86,100306,0,0
12/1/86,100511,0,0
1/1/87,100683,0,0
2/1/87,100915,0,0
3/1/87,101164,0,0
4/1/87,101502,0,0
5/1/87,101728,0,0
6/1/87,101900,0,0
7/1/87,102247,0,0
8/1/87,102418,0,0
9/1/87,102646,0,0
10/1/87,103138,0,0
11/1/87,103370,0,0
12/1/87,103664,0,0
1/1/88,103758,0,0
2/1/88,104211,0,0
3/1/88,104487,0,0
4/1/88,104732,0,0
5/1/88,104961,0,0
6/1/88,105324,0,0
7/1/88,105546,0,0
8/1/88,105670,0,0
9/1/88,106009,0,0
10/1/88,106277,0,0
11/1/88,106616,0,0
12/1/88,106906,0,0
1/1/89,107168,0,0
2/1/89,107426,0,0
3/1/89,107619,0,0
4/1/89,107792,0,0
5/1/89,107910,0,0
6/1/89,108026,0,0
7/1/89,108066,0,0
8/1/89,108115,0,0
9/1/89,108365,0,0
10/1/89,108476,0,0
11/1/89,108753,0,0
12/1/89,108849,0,0
1/1/90,109184,0,0
2/1/90,109433,0,0
3/1/90,109647,0,0
4/1/90,109687,0,0
5/1/90,109838,0,0
6/1/90,109862,0,0
7/1/90,109830,1,0
8/1/90,109614,0,0
9/1/90,109525,0,0
10/1/90,109366,0,0
11/1/90,109216,0,0
12/1/90,109160,0,0
1/1/91,109040,0,0
2/1/91,108735,0,0
3/1/91,108577,0,0
4/1/91,108366,0,0
5/1/91,108241,0,0
6/1/91,108338,0,0
7/1/91,108298,0,0
8/1/91,108308,0,0
9/1/91,108340,0,0
10/1/91,108357,0,0
11/1/91,108299,0,0
12/1/91,108325,0,0
1/1/92,108377,0,0
2/1/92,108314,0,0
3/1/92,108368,0,0
4/1/92,108527,0,0
5/1/92,108653,0,0
6/1/92,108721,0,0
7/1/92,108792,0,0
8/1/92,108930,0,0
9/1/92,108966,0,0
10/1/92,109148,0,0
11/1/92,109284,0,0
12/1/92,109496,0,0
1/1/93,109805,0,0
2/1/93,110047,0,0
3/1/93,109998,0,0
4/1/93,110306,0,0
5/1/93,110572,0,0
6/1/93,110754,0,0
7/1/93,111055,0,0
8/1/93,111211,0,0
9/1/93,111451,0,0
10/1/93,111737,0,0
11/1/93,112000,0,0
12/1/93,112312,0,0
1/1/94,112583,0,0
2/1/94,112783,0,0
3/1/94,113248,0,0
4/1/94,113598,0,0
5/1/94,113931,0,0
6/1/94,114246,0,0
7/1/94,114619,0,0
8/1/94,114901,0,0
9/1/94,115254,0,0
10/1/94,115467,0,0
11/1/94,115887,0,0
12/1/94,116164,0,0
1/1/95,116488,0,0
2/1/95,116692,0,0
3/1/95,116913,0,0
4/1/95,117075,0,0
5/1/95,117060,0,0
6/1/95,117294,0,0
7/1/95,117390,0,0
8/1/95,117643,0,0
9/1/95,117887,0,0
10/1/95,118040,0,0
11/1/95,118189,0,0
12/1/95,118322,0,0
1/1/96,118303,0,0
2/1/96,118735,0,0
3/1/96,119002,0,0
4/1/96,119165,0,0
5/1/96,119487,0,0
6/1/96,119774,0,0
7/1/96,120023,0,0
8/1/96,120202,0,0
9/1/96,120427,0,0
10/1/96,120677,0,0
11/1/96,120976,0,0
12/1/96,121147,0,0
1/1/97,121381,0,0
2/1/97,121684,0,0
3/1/97,122000,0,0
4/1/97,122292,0,0
5/1/97,122552,0,0
6/1/97,122818,0,0
7/1/97,123124,0,0
8/1/97,123093,0,0
9/1/97,123605,0,0
10/1/97,123945,0,0
11/1/97,124251,0,0
12/1/97,124554,0,0
1/1/98,124830,0,0
2/1/98,125026,0,0
3/1/98,125177,0,0
4/1/98,125457,0,0
5/1/98,125861,0,0
6/1/98,126080,0,0
7/1/98,126209,0,0
8/1/98,126551,0,0
9/1/98,126774,0,0
10/1/98,126973,0,0
11/1/98,127255,0,0
12/1/98,127601,0,0
1/1/99,127727,0,0
2/1/99,128137,0,0
3/1/99,128244,0,0
4/1/99,128620,0,0
5/1/99,128831,0,0
6/1/99,129091,0,0
7/1/99,129417,0,0
8/1/99,129577,0,0
9/1/99,129791,0,0
10/1/99,130191,0,0
11/1/99,130484,0,0
12/1/99,130780,0,0
1/1/00,131010,0,0
2/1/00,131140,0,0
3/1/00,131608,0,0
4/1/00,131895,0,0
5/1/00,132122,0,0
6/1/00,132075,0,0
7/1/00,132251,0,0
8/1/00,132241,0,0
9/1/00,132377,0,0
10/1/00,132363,0,0
11/1/00,132589,0,0
12/1/00,132731,0,0
1/1/01,132705,0,0
2/1/01,132777,0,0
3/1/01,132752,1,0
4/1/01,132471,0,0
5/1/01,132433,0,0
6/1/01,132302,0,0
7/1/01,132190,0,0
8/1/01,132033,0,0
9/1/01,131793,0,0
10/1/01,131468,0,0
11/1/01,131175,0,0
12/1/01,131005,0,0
1/1/02,130867,0,0
2/1/02,130733,0,0
3/1/02,130713,0,0
4/1/02,130634,0,0
5/1/02,130627,0,0
6/1/02,130684,0,0
7/1/02,130599,0,0
8/1/02,130585,0,0
9/1/02,130526,0,0
10/1/02,130652,0,0
11/1/02,130662,0,0
12/1/02,130505,0,0
1/1/03,130597,0,0
2/1/03,130447,0,0
3/1/03,130238,0,0
4/1/03,130194,0,0
5/1/03,130186,0,0
6/1/03,130195,0,0
7/1/03,130219,0,0
8/1/03,130177,0,0
9/1/03,130281,0,0
10/1/03,130479,0,0
11/1/03,130496,0,0
12/1/03,130618,0,0
1/1/04,130780,0,0
2/1/04,130826,0,0
3/1/04,131158,0,0
4/1/04,131407,0,0
5/1/04,131715,0,0
6/1/04,131791,0,0
7/1/04,131835,0,0
8/1/04,131956,0,0
9/1/04,132120,0,0
10/1/04,132466,0,0
11/1/04,132530,0,0
12/1/04,132660,0,0
1/1/05,132794,0,0
2/1/05,133033,0,0
3/1/05,133169,0,0
4/1/05,133534,0,0
5/1/05,133708,0,0
6/1/05,133955,0,0
7/1/05,134331,0,0
8/1/05,134525,0,0
9/1/05,134593,0,0
10/1/05,134678,0,0
11/1/05,135015,0,0
12/1/05,135174,0,0
1/1/06,135452,0,0
2/1/06,135768,0,0
3/1/06,136049,0,0
4/1/06,136232,0,0
5/1/06,136255,0,0
6/1/06,136337,0,0
7/1/06,136544,0,0
8/1/06,136725,0,0
9/1/06,136883,0,0
10/1/06,136887,0,0
11/1/06,137095,0,0
12/1/06,137266,0,0
1/1/07,137506,0,0
2/1/07,137596,0,0
3/1/07,137785,0,0
4/1/07,137864,0,0
5/1/07,138007,0,0
6/1/07,138085,0,0
7/1/07,138052,0,0
8/1/07,138028,0,0
9/1/07,138116,0,0
10/1/07,138201,0,0
11/1/07,138316,0,0
12/1/07,138413,1,0
1/1/08,138432,0,0
2/1/08,138346,0,0
3/1/08,138268,0,0
4/1/08,138058,0,0
5/1/08,137873,0,0
6/1/08,137708,0,0
7/1/08,137499,0,0
8/1/08,137233,0,0
9/1/08,136781,0,0
10/1/08,136308,0,0
11/1/08,135539,0,0
12/1/08,134844,0,0
1/1/09,134053,0,0
2/1/09,133350,0,0
3/1/09,132527,0,0
4/1/09,131841,0,0
5/1/09,131490,0,0
6/1/09,131020,0,0
7/1/09,130691,0,0
8/1/09,130479,0,0
9/1/09,130260,0,0
10/1/09,130060,0,0
11/1/09,130053,0,0
12/1/09,129774,0,0
1/1/10,129802,0,0
2/1/10,129733,0,0
3/1/10,129896,0,0
4/1/10,130139,0,0
5/1/10,130661,0,0
6/1/10,130528,0,0
7/1/10,130458,0,0
8/1/10,130424,0,0
9/1/10,130372,0,0
10/1/10,130629,0,0
11/1/10,130752,0,0
12/1/10,130840,0,0
1/1/11,130882,0,0
2/1/11,131070,0,0
3/1/11,131295,0,0
4/1/11,131641,0,0
5/1/11,131714,0,0
6/1/11,131949,0,0
7/1/11,132019,0,0
8/1/11,132126,0,0
9/1/11,132372,0,0
10/1/11,132574,0,0
11/1/11,132720,0,0
12/1/11,132927,0,0
1/1/12,133265,0,0
2/1/12,133522,0,0
3/1/12,133761,0,0
4/1/12,133836,0,0
5/1/12,133951,0,0
6/1/12,134038,0,0
7/1/12,134181,0,0
8/1/12,134371,0,0
9/1/12,134552,0,0
10/1/12,134684,0,0
11/1/12,134833,0,0
12/1/12,135076,0,0
1/1/13,135266,0,0
2/1/13,135577,0,0
3/1/13,135712,0,0
4/1/13,135904,0,0
5/1/13,136122,0,0
6/1/13,136268,0,0
7/1/13,136408,0,0
8/1/13,136677,0,0
9/1/13,136862,0,0
10/1/13,137051,0,0
11/1/13,137342,0,0
12/1/13,137387,0,0
1/1/14,137574,0,0
2/1/14,137742,0,0
3/1/14,138014,0,0
4/1/14,138324,0,0
5/1/14,138537,0,0
6/1/14,138843,0,0
7/1/14,139075,0,0
8/1/14,139293,0,0
9/1/14,139579,0,0
10/1/14,139779,0,0
11/1/14,140110,0,0
12/1/14,140402,0,0
1/1/15,140623,0,0
2/1/15,140888,0,0
3/1/15,140972,0,0
4/1/15,141223,0,0
5/1/15,141496,0,0
6/1/15,141724,0,0
7/1/15,142001,0,0
8/1/15,142151,0,0
9/1/15,142300,0,0
10/1/15,142595,0,0
11/1/15,142875,0,0
12/1/15,143146,0,0
1/1/16,143314,0,0
2/1/16,143547,0,0
3/1/16,143733,0,0
4/1/16,143877,0,0
5/1/16,143901,0,0
6/1/16,144172,0,0
7/1/16,144424,0,0
8/1/16,144600,0,0
9/1/16,144791,0,0
10/1/16,144952,0,0
